date,scored_count,portfolio_return,universe_median_return,ic,top_n_tickers,top_n_scores
2022-04-14,71,0.021231994377116654,0.02061984503874048,-0.009245808468213629,"NRIX,VRNT,ALKS,COHR,APLS","0.4500,0.4000,0.3500,0.3500,0.3150"
2022-04-18,86,0.0024116921198886446,-0.0013050275946699386,-0.13776517221877005,"COHR,INOD,QMCO,BELFB,CRSP","0.6000,0.4500,0.3500,0.3500,0.3500"
2022-04-19,87,-0.04806275913740019,-0.031231925968768004,-0.029166325393364098,"ARWR,CAMT,NRIX,APLS,VRNT","0.5000,0.5000,0.5000,0.4500,0.4000"
2022-04-20,87,-0.015615298275232201,-0.019193857965451144,0.011160259745680554,"CAMT,ALKS,PLXS,NRIX,QMCO","0.5000,0.4000,0.3500,0.3500,0.3500"
2022-04-21,87,0.01111664855977339,0.019535874970400213,0.09656429797402334,"BELFB,ALKS,INOD,UPST,COHR","0.3500,0.3500,0.3000,0.3000,0.3000"
2022-04-22,87,-0.06767802930346445,-0.046715841236389166,-0.0839082543833543,"CAMT,VRNT,IDYA,BEAM,AI","0.5000,0.4000,0.4000,0.4000,0.3500"
2022-04-25,87,0.01445735862388319,-0.006802721088435382,0.013761047009795408,"IDYA,ALKS,PEGA,CAMT,BEAM","0.5200,0.5000,0.5000,0.4500,0.4000"
2022-04-26,87,0.03002328079743524,0.0394121576486306,-0.21676762999333513,"VRNT,INVZ,QMCO,COHR,ALKS","0.5000,0.3500,0.3500,0.3500,0.2500"
2022-04-27,87,-0.0023961487554682087,-0.030701754385964897,-0.11184889779251861,"VRNT,ALKS,INVZ,IONS,LSCC","0.6500,0.5000,0.5000,0.4000,0.4000"
2022-04-28,87,0.010623885395450052,0.038187159043222785,-0.21318299337084118,"QRVO,PEGA,CAMT,VRNT,PLXS","0.6500,0.5000,0.5000,0.5000,0.4500"
2022-04-29,87,0.01568993182433484,0.004265640682502347,-0.15711514713915004,"PEGA,INOD,COHR,VRNT,ALKS","0.6000,0.4000,0.3500,0.3500,0.3500"
2022-05-02,87,0.009857850656335402,0.04078549848942625,-0.08505970210383695,"QRVO,SLAB,ARWR,ALKS,MTSI","0.6500,0.6500,0.6500,0.6500,0.5500"
2022-05-03,87,-0.03427431309190294,-0.05044843049327341,-0.12715533114580788,"ALKS,ALGM,VRNT,COHU,CAMT","0.8000,0.5000,0.5000,0.5000,0.5000"
2022-05-04,87,-0.02720291319588307,-0.023850085178875546,-0.039376152457428405,"DIOD,MTSI,CRSP,UPST,PEGA","0.8500,0.7500,0.6500,0.6500,0.6500"
2022-05-05,87,-0.04499043373021309,-0.05546935608999226,-0.20935022820153723,"ALGM,COHR,MPWR,SLAB,UPST","0.6000,0.5500,0.5500,0.5000,0.5000"
2022-05-06,87,0.008626980866375119,0.013157894736842035,-0.3462562068602563,"MPWR,SLAB,BELFB,AMKR,POWI","0.7000,0.6500,0.6000,0.5500,0.5500"
2022-05-09,87,-0.07947791343739681,-0.06053986581369952,0.08421887618676287,"VSH,ATOM,INVZ,INOD,BMEA","0.5000,0.4500,0.4500,0.4000,0.3600"
2022-05-10,87,0.00038871431310316684,0.021929824561403466,-0.1971536796028209,"SLAB,COHR,LITE,FORM,ONTO","0.7500,0.7500,0.5500,0.5500,0.5500"
2022-05-11,87,0.026605541857354677,0.0484795613160518,-0.1471863744980466,"SLAB,COHR,LITE,PEGA,BELFB","0.6000,0.5500,0.5000,0.4000,0.4000"
2022-05-12,87,-0.012016524356062961,-0.015214548912397485,-0.1919798279581856,"SLAB,FORM,PLXS,BMEA,AUPH","0.6500,0.5500,0.5000,0.4800,0.4500"
2022-05-13,87,0.0482695656342702,0.04881656804733714,-0.291691298462532,"AI,KLIC,SITM,MTSI,LITE","0.8000,0.7500,0.7500,0.6500,0.6500"
2022-05-16,87,-0.028531450283348494,-0.042476601871850206,-0.3702314572606006,"SLAB,COHU,ALKS,LITE,BMEA","0.6000,0.5000,0.5000,0.5000,0.4800"
2022-05-17,87,0.002212535090062021,0.005992779783393631,-0.3320601396169816,"KLIC,AMKR,DIOD,SITM,LSCC","0.7500,0.7500,0.7500,0.7500,0.7500"
2022-05-18,87,0.0011962260318696817,0.0038040345821326316,-0.3316049012831848,"SLAB,CRUS,AI,AEHR,SITM","0.6000,0.5500,0.5000,0.5000,0.4000"
2022-05-19,87,-0.005246813150854854,-0.005117200396170252,-0.32322219441144356,"SLAB,SITM,AEHR,MTSI,CRUS","0.7500,0.7500,0.7500,0.7500,0.7000"
2022-05-20,87,-0.024821187410620508,-0.03800232964472938,-0.30806415529623765,"CRUS,LITE,SITM,MTSI,AMKR","0.7000,0.6500,0.6000,0.6000,0.5500"
2022-05-23,87,0.019086986836542214,0.017786899264580214,-0.2819822411843717,"SITM,ALGM,AI,ALKS,SLAB","0.6000,0.5500,0.5000,0.5000,0.5000"
